timestamp,symbol,open,high,low,close,volume,vwap,trade_count
2025-04-23 04:00:00+00:00,MSFT,376.06,380.39,373.02,374.39,20545526.0,376.030357,335410.0
2025-04-24 04:00:00+00:00,MSFT,375.695,388.45,375.19,387.3,22232289.0,385.413096,297801.0
2025-04-25 04:00:00+00:00,MSFT,387.0,392.16,384.6,391.85,18973165.0,389.928669,276680.0
2025-04-28 04:00:00+00:00,MSFT,391.955,392.74,386.638,391.16,16579430.0,390.255026,274916.0
2025-04-29 04:00:00+00:00,MSFT,391.3,395.1,390.38,394.04,14973976.0,393.584098,249780.0
2025-04-30 04:00:00+00:00,MSFT,390.3,396.66,384.44,395.26,36461075.0,392.339604,525137.0
2025-05-01 04:00:00+00:00,MSFT,431.11,436.99,424.9,425.4,58938100.0,430.450306,913598.0
2025-05-02 04:00:00+00:00,MSFT,431.74,439.44,429.985,435.28,30757434.0,435.633129,542335.0
2025-05-05 04:00:00+00:00,MSFT,432.87,439.5,432.11,436.17,20136053.0,436.641584,328657.0
2025-05-06 04:00:00+00:00,MSFT,432.2,437.73,431.17,433.31,15104204.0,434.390577,297624.0
2025-05-07 04:00:00+00:00,MSFT,433.84,438.12,431.1103,433.35,23307241.0,433.746333,330269.0
2025-05-08 04:00:00+00:00,MSFT,437.93,443.67,435.66,438.17,23491330.0,439.694323,380141.0
2025-05-09 04:00:00+00:00,MSFT,440.0,440.74,435.88,438.73,15324233.0,438.270566,247739.0
2025-05-12 04:00:00+00:00,MSFT,445.94,449.37,439.78,449.26,22821935.0,446.064472,417124.0
2025-05-13 04:00:00+00:00,MSFT,447.78,450.6733,445.36,449.14,23618819.0,448.649775,406705.0
2025-05-14 04:00:00+00:00,MSFT,448.14,453.9,448.14,452.94,19902796.0,452.214155,378377.0
2025-05-15 04:00:00+00:00,MSFT,450.765,456.19,450.4301,453.13,21992323.0,453.416856,364866.0
2025-05-16 04:00:00+00:00,MSFT,452.05,454.36,448.73,454.27,23849781.0,452.354391,329065.0
2025-05-19 04:00:00+00:00,MSFT,450.875,459.585,450.8,458.87,21336509.0,457.47361,345933.0
2025-05-20 04:00:00+00:00,MSFT,455.59,458.34,454.3201,458.17,15441808.0,456.813514,257266.0
2025-05-21 04:00:00+00:00,MSFT,454.57,457.78,451.814,452.57,19216906.0,454.238421,320670.0
2025-05-22 04:00:00+00:00,MSFT,454.95,460.25,453.9,454.86,18025612.0,456.227542,334105.0
2025-05-23 04:00:00+00:00,MSFT,449.98,453.69,448.91,450.18,16883509.0,450.875028,323259.0
2025-05-27 04:00:00+00:00,MSFT,456.48,460.95,456.115,460.69,20974293.0,459.284797,362158.0
2025-05-28 04:00:00+00:00,MSFT,461.22,462.52,456.93,457.36,17086261.0,458.627332,280126.0
