timestamp,symbol,open,high,low,close,volume,vwap,trade_count
2025-04-23 04:00:00+00:00,GOOGL,155.61,157.525,153.81,155.35,31128833.0,155.713242,453650.0
2025-04-24 04:00:00+00:00,GOOGL,156.15,159.59,155.79,159.28,45893951.0,158.48237,589964.0
2025-04-25 04:00:00+00:00,GOOGL,165.07,166.1,161.04,161.96,56033995.0,162.945546,691977.0
2025-04-28 04:00:00+00:00,GOOGL,162.425,163.15,158.6,160.61,29745782.0,160.353328,423036.0
2025-04-29 04:00:00+00:00,GOOGL,160.325,160.74,157.52,160.16,26808958.0,159.664004,366834.0
2025-04-30 04:00:00+00:00,GOOGL,157.975,159.27,155.4,158.8,34981059.0,157.754052,419220.0
2025-05-01 04:00:00+00:00,GOOGL,160.45,161.95,158.91,161.3,30203248.0,160.956281,404711.0
2025-05-02 04:00:00+00:00,GOOGL,163.405,164.97,161.87,164.03,25715005.0,163.840405,348172.0
2025-05-05 04:00:00+00:00,GOOGL,163.0,165.39,162.72,164.21,21341814.0,164.509467,284195.0
2025-05-06 04:00:00+00:00,GOOGL,162.17,164.8,161.19,163.23,21277210.0,163.280702,263734.0
2025-05-07 04:00:00+00:00,GOOGL,164.08,165.0,147.84,151.38,127747554.0,152.333239,1676706.0
2025-05-08 04:00:00+00:00,GOOGL,155.0,155.93,152.9,154.28,57498692.0,154.363487,787371.0
2025-05-09 04:00:00+00:00,GOOGL,154.17,155.05,152.2,152.75,32435281.0,153.142681,472801.0
2025-05-12 04:00:00+00:00,GOOGL,157.485,159.1,156.25,158.46,44138818.0,157.845202,665564.0
2025-05-13 04:00:00+00:00,GOOGL,158.79,160.57,156.16,159.53,42382126.0,159.110473,634984.0
2025-05-14 04:00:00+00:00,GOOGL,159.96,167.0,159.61,165.37,48755869.0,164.251445,774355.0
2025-05-15 04:00:00+00:00,GOOGL,165.84,166.205,162.3732,163.96,33146669.0,164.346268,515220.0
2025-05-16 04:00:00+00:00,GOOGL,167.725,169.35,165.62,166.19,42846925.0,167.045988,671559.0
