timestamp,symbol,open,high,low,close,volume,vwap,trade_count
2025-04-23 04:00:00+00:00,AAPL,206.0,208.0,202.799,204.6,52929165.0,205.344795,664354.0
2025-04-24 04:00:00+00:00,AAPL,204.89,208.8299,202.94,208.37,47310989.0,207.133886,490831.0
2025-04-25 04:00:00+00:00,AAPL,206.365,209.75,206.2,209.28,38222258.0,208.424899,469917.0
2025-04-28 04:00:00+00:00,AAPL,210.0,211.5,207.46,210.14,38743074.0,209.664384,436969.0
2025-04-29 04:00:00+00:00,AAPL,208.693,212.24,208.37,211.21,36827633.0,211.011514,403524.0
2025-04-30 04:00:00+00:00,AAPL,209.3,213.58,206.6705,212.5,52286454.0,211.321946,501667.0
2025-05-01 04:00:00+00:00,AAPL,209.08,214.56,208.9,213.32,57365675.0,212.465753,712566.0
2025-05-02 04:00:00+00:00,AAPL,206.09,206.99,202.16,205.35,101010621.0,204.784489,1100613.0
2025-05-05 04:00:00+00:00,AAPL,203.1,204.1,198.21,198.89,69018452.0,199.723715,770697.0
2025-05-06 04:00:00+00:00,AAPL,198.21,200.65,197.02,198.51,51216482.0,198.863683,529849.0
2025-05-07 04:00:00+00:00,AAPL,199.17,199.44,193.25,196.25,68616943.0,195.89945,753075.0
2025-05-08 04:00:00+00:00,AAPL,197.72,200.05,194.6796,197.49,50478872.0,197.774244,599001.0
2025-05-09 04:00:00+00:00,AAPL,199.0,200.5399,197.535,198.53,36453923.0,198.727532,423067.0
2025-05-12 04:00:00+00:00,AAPL,210.97,211.2679,206.75,210.79,63775814.0,209.671497,806841.0
2025-05-13 04:00:00+00:00,AAPL,210.43,213.4,209.0,212.93,51909332.0,211.920893,608884.0
2025-05-14 04:00:00+00:00,AAPL,212.43,213.94,210.5801,212.33,49325825.0,212.274905,596267.0
2025-05-15 04:00:00+00:00,AAPL,210.95,212.96,209.54,211.45,45029473.0,211.302042,550863.0
2025-05-16 04:00:00+00:00,AAPL,212.36,212.57,209.77,211.26,54737850.0,211.318133,512788.0
2025-05-19 04:00:00+00:00,AAPL,207.91,209.48,204.26,208.78,46140527.0,207.544666,617742.0
2025-05-20 04:00:00+00:00,AAPL,207.67,208.47,205.03,206.86,42496635.0,207.012839,511393.0
2025-05-21 04:00:00+00:00,AAPL,205.17,207.04,200.71,202.09,59211774.0,203.41488,783994.0
2025-05-22 04:00:00+00:00,AAPL,200.71,202.75,199.7,201.36,46742407.0,201.381366,615608.0
2025-05-23 04:00:00+00:00,AAPL,193.665,197.7,193.46,195.27,78432918.0,195.921086,1035410.0
2025-05-27 04:00:00+00:00,AAPL,198.3,200.74,197.43,200.21,56288475.0,199.536657,710445.0
2025-05-28 04:00:00+00:00,AAPL,200.59,202.73,199.9,200.42,45339678.0,200.829719,549615.0
2025-05-29 04:00:00+00:00,AAPL,203.575,203.81,198.51,199.95,51477938.0,200.374911,652509.0
